date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:52	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/payments	~/httrack-copies/stripe/stripe.com/payments	(from https://stripe.com/)
15:41:52	28699/28699	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/docs/custom-form	~/httrack-copies/stripe/stripe.com/docs/custom-form.html	(from https://stripe.com/)
15:41:53	21321/21321	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/docs/checkout/tutorial	~/httrack-copies/stripe/stripe.com/docs/checkout/tutorial.html	(from https://stripe.com/)
15:41:53	15543/15543	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:53%20GMT	https://stripe.com/docs/mobile	~/httrack-copies/stripe/stripe.com/docs/mobile.html	(from https://stripe.com/)
15:41:53	24023/24023	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:53%20GMT	https://stripe.com/docs/libraries	~/httrack-copies/stripe/stripe.com/docs/libraries.html	(from https://stripe.com/)
15:41:53	14416/14416	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:53%20GMT	https://stripe.com/docs/apple-pay	~/httrack-copies/stripe/stripe.com/docs/apple-pay.html	(from https://stripe.com/)
15:41:53	47053/47053	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:53%20GMT	https://stripe.com/docs/testing	~/httrack-copies/stripe/stripe.com/docs/testing.html	(from https://stripe.com/)
15:41:54	26719/26719	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:54%20GMT	https://stripe.com/docs/checklist	~/httrack-copies/stripe/stripe.com/docs/checklist.html	(from https://stripe.com/)
15:41:54	56350/56350	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:54%20GMT	https://stripe.com/docs/api	~/httrack-copies/stripe/stripe.com/docs/api.html	(from https://stripe.com/)
15:41:54	77983/77983	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:54%20GMT	https://stripe.com/open-source	~/httrack-copies/stripe/stripe.com/open-source.html	(from https://stripe.com/)
15:41:54	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:54%20GMT	https://stripe.com/payments	~/httrack-copies/stripe/stripe.com/payments	(from https://stripe.com/)
15:41:55	13775/13775	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-35cf%22	https://stripe.com/img/v3/home/app-illustrations/slack.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/app-illustrations/slack.svg	(from https://stripe.com/)
15:41:55	6195/6195	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-1833%22	https://stripe.com/img/v3/home/app-illustrations/twitter.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/app-illustrations/twitter.svg	(from https://stripe.com/)
